method,variant,baseline_key,num_samples,mean_explain_time_sec,median_explain_time_sec,mean_aopc_deletion,mean_auc_insertion,mean_iou_top10,mean_comprehensiveness,mean_sufficiency,mean_selected_feature_ratio,mean_sparsity,metrics_path,per_sample_path,visuals_dir,xai_key
vibi_e2e,end-to-end,swin_t,3000,0.006730100154876709,0.006445646286010742,0.2896999482165282,0.7462508273424737,0.7276858909497677,0.0513074469647713,0.32030311635566555,0.16326530612244897,0.836734693877551,C:\Users\86188\Desktop\Graduation Thesis\outputs\xai\end-to-end\vibi_e2e\swin_t\quant_metrics.json,C:\Users\86188\Desktop\Graduation Thesis\outputs\xai\end-to-end\vibi_e2e\swin_t\per_sample_metrics.csv,C:\Users\86188\Desktop\Graduation Thesis\outputs\xai\end-to-end\vibi_e2e\swin_t\visuals,end-to-end::vibi_e2e::swin_t
protopnet,intrinsic,swin_t,3000,0.0072189030647277835,0.007163524627685547,0.16404955095493542,0.5484735106553572,0.6938068770515986,0.03076777927794804,0.07990517045464367,0.17180952380952377,0.8281904761904761,C:\Users\86188\Desktop\Graduation Thesis\outputs\xai\intrinsic\protopnet\swin_t\quant_metrics.json,C:\Users\86188\Desktop\Graduation Thesis\outputs\xai\intrinsic\protopnet\swin_t\per_sample_metrics.csv,C:\Users\86188\Desktop\Graduation Thesis\outputs\xai\intrinsic\protopnet\swin_t\visuals,intrinsic::protopnet::swin_t
vibi_teacher_student,learned,swin_t,3000,0.012746709585189819,0.012705564498901367,0.2472231010504843,0.6604471471141713,0.809746596564347,0.08330967455854019,0.09739543846684198,0.16326530612244897,0.836734693877551,C:\Users\86188\Desktop\Graduation Thesis\outputs\xai\learned\vibi_teacher_student\swin_t\quant_metrics.json,C:\Users\86188\Desktop\Graduation Thesis\outputs\xai\learned\vibi_teacher_student\swin_t\per_sample_metrics.csv,C:\Users\86188\Desktop\Graduation Thesis\outputs\xai\learned\vibi_teacher_student\swin_t\visuals,learned::vibi_teacher_student::swin_t
lime,post-hoc,swin_t,100,3.759942810535431,3.7737780809402466,0.4969859313368796,0.7251330716535449,0.47923392042983387,0.11320951474830508,0.07197372533380986,0.08693080357142856,0.9130691964285712,C:\Users\86188\Desktop\Graduation Thesis\outputs\xai\post-hoc\lime\swin_t\quant_metrics.json,C:\Users\86188\Desktop\Graduation Thesis\outputs\xai\post-hoc\lime\swin_t\per_sample_metrics.csv,C:\Users\86188\Desktop\Graduation Thesis\outputs\xai\post-hoc\lime\swin_t\visuals,post-hoc::lime::swin_t
shap,post-hoc,swin_t,100,20.21288263320923,20.25051498413086,0.6056891123121605,0.6740742944646625,0.5111406012914899,0.21666303966194392,0.6449490465829149,0.13584542410714287,0.8641545758928569,C:\Users\86188\Desktop\Graduation Thesis\outputs\xai\post-hoc\shap\swin_t\quant_metrics.json,C:\Users\86188\Desktop\Graduation Thesis\outputs\xai\post-hoc\shap\swin_t\per_sample_metrics.csv,C:\Users\86188\Desktop\Graduation Thesis\outputs\xai\post-hoc\shap\swin_t\visuals,post-hoc::shap::swin_t
